millis,stamp,datetime,degree,distance
118009,1694973492,2023/9/17 17:58,122,16
119017,1694973494,2023/9/17 17:58,69,24
120015,1694973494,2023/9/17 17:58,22,22
121021,1694973496,2023/9/17 17:58,30,40
122012,1694973496,2023/9/17 17:58,76,23
123015,1694973497,2023/9/17 17:58,129,16
124003,1694973498,2023/9/17 17:58,180,38
125011,1694973499,2023/9/17 17:58,135,16
126014,1694973500,2023/9/17 17:58,82,24
127001,1694973501,2023/9/17 17:58,32,39
127036,1694973502,2023/9/17 17:58,31,40
128014,1694973502,2023/9/17 17:58,20,24
129018,1694973503,2023/9/17 17:58,70,23
130008,1694973504,2023/9/17 17:58,122,16
131009,1694973505,2023/9/17 17:58,175,20
132017,1694973506,2023/9/17 17:58,139,16
133017,1694973507,2023/9/17 17:58,86,24
134003,1694973508,2023/9/17 17:58,39,40
135017,1694973509,2023/9/17 17:58,10,21
136013,1694973510,2023/9/17 17:58,58,24
137006,1694973511,2023/9/17 17:58,110,0
137039,1694973512,2023/9/17 17:58,111,17
138015,1694973512,2023/9/17 17:58,163,18
139001,1694973513,2023/9/17 17:58,154,17
139035,1694973514,2023/9/17 17:58,153,17
140012,1694973514,2023/9/17 17:58,101,18
141004,1694973515,2023/9/17 17:58,50,39
142013,1694973516,2023/9/17 17:58,1,22
143004,1694973517,2023/9/17 17:58,47,40
143039,1694973518,2023/9/17 17:58,48,27
144016,1694973518,2023/9/17 17:58,99,18
145012,1694973519,2023/9/17 17:58,152,17
146017,1694973520,2023/9/17 17:58,165,18
147014,1694973521,2023/9/17 17:58,112,17
148005,1694973522,2023/9/17 17:58,60,22
148040,1694973523,2023/9/17 17:58,59,26
149004,1694973523,2023/9/17 17:58,10,21
149038,1694973524,2023/9/17 17:58,9,21
150006,1694973524,2023/9/17 17:58,37,40
151002,1694973525,2023/9/17 17:58,88,25
151035,1694973525,2023/9/17 17:58,89,25
152016,1694973526,2023/9/17 17:58,141,16
153028,1694973527,2023/9/17 17:58,177,436
154018,1694973528,2023/9/17 17:58,125,16
155005,1694973529,2023/9/17 17:58,73,24
155039,1694973529,2023/9/17 17:58,72,24
156004,1694973530,2023/9/17 17:58,24,24
156038,1694973530,2023/9/17 17:58,23,22
157007,1694973531,2023/9/17 17:58,27,40
158015,1694973532,2023/9/17 17:58,78,24
159003,1694973533,2023/9/17 17:58,130,16
159037,1694973533,2023/9/17 17:58,131,16
160026,1694973534,2023/9/17 17:58,178,183
161006,1694973535,2023/9/17 17:58,127,16
161040,1694973535,2023/9/17 17:58,126,16
162009,1694973536,2023/9/17 17:58,75,23
163005,1694973537,2023/9/17 17:58,25,23
164008,1694973538,2023/9/17 17:58,27,40
165017,1694973539,2023/9/17 17:58,78,23
166002,1694973540,2023/9/17 17:59,130,16
166036,1694973540,2023/9/17 17:59,131,16
167030,1694973541,2023/9/17 17:59,179,292
168006,1694973542,2023/9/17 17:59,140,16
168040,1694973542,2023/9/17 17:59,139,16
169001,1694973543,2023/9/17 17:59,88,24
169035,1694973543,2023/9/17 17:59,87,24
170009,1694973544,2023/9/17 17:59,38,39
171004,1694973545,2023/9/17 17:59,10,21
171038,1694973545,2023/9/17 17:59,11,21
172001,1694973546,2023/9/17 17:59,57,25
172035,1694973546,2023/9/17 17:59,58,24
173006,1694973547,2023/9/17 17:59,109,17
173039,1694973547,2023/9/17 17:59,110,17
174001,1694973548,2023/9/17 17:59,161,18
